summonerId,summonerName,leaguePoints,rank,wins,losses,puuid
,,2487,I,297,182,0xQOLgSmZaGD-OELquJwITHUv1BuCtMj1oszoII7yZIQsbRjPNrZ0Z30KVT_UuS5KrFQ0k976HSANQ
,,2397,I,249,120,1UiPCsN-DHcAhymely_Xm1T2C1Jqu6TtauxGI8V_46cJr6xeJGWDDDjMeRd2Kmv2Efa6WxLX-uXmWw
,,2375,I,141,53,nM-8Oo8UbO6AQVcn0cI1saW_ZOsoa4XmNduK7w2v-mhQ1efq-Zrjk3W3xEQqrfVf2u3dbcuMmaiaxg
,,2374,I,253,149,xMSyMks_4RupFRip99CzU-gKjV9LJerx78a__RpIkkXGYyUMN99dJ9WoS9ndR-sKzMrlq11yFTILuQ
,,2260,I,197,108,Q_jUcjweF5IgbtgLhTjQyPQfDKXDlUd6dcYiIi-uj9q3zkgwJY1DPsBS5YGQekZNEm0mSNIGuLj3BA
,,2253,I,178,92,AkVLuj15rfT_q8QF_kbcfkOBz-ICcwVAsH5cPdx1nZxrRKtsY08blK1R_ozcmSDgl2clzW0TFz6Ojw
,,2225,I,176,110,SCXGezQwOD0UIyjLWjXbWvWWfT9qJcgFbCYR7wmj03nRGp49Q2mMId4QCQGmiDm-EudsYDZkDbwBbg
,,2078,I,167,114,jwlTmzbnMpd1Q80NUpFLUGGx7oTE-HOMyTP71YrlahedHMzeUdIC1vmNbbLWIbokLtrwKzY_k4NHfA
,,2026,I,237,143,8Qf-JAlNNFhRnWUVZL99Gye0wnEymZF2UAkrdKYRMQPZlOEqy9fdfjTR_a9O0HuqaV-f_Ry3VxdULQ
,,1967,I,136,72,QwiXxN2uP3QpyEPPrJ4nUBmpQ2ynVuDXlYeYiaHPPAeFIWffqBqwg-PmvCkTC_AX1Xi_o7Vhmo4mDg
,,1883,I,161,94,CB5T1PZ6sIk4ibDwtSebBXg8NqjlEGekhMSBM-kz83xGJAKcDPbaQIXree2y-BWyBqH5N_tSuwdNyw
,,1869,I,177,121,GFuS8V--KaAdwrvqj8W62AT30Dk06TvQm__N8Jgjwsgb-7GZizWgkMlRr-521_KP-lFqe25mluvn6w
,,1845,I,149,111,bnRQ9lj5yVHDhJ1m57_VI4NklxXUU-PLlBzexFE27W27zpURggwO6a4IcOTUioD3vABcVTapPMaEJg
,,1803,I,140,99,KIAzgI3z2KeDNHRhr5DfnbHxPI4Qz5cfnuijAybYvnCW2B-q-MFsagSjQdWTl1TDhUkAa4P_hCM_bw
,,1801,I,162,80,H0y5OEz2PFc7bjpAhUTqRQ6vRWHWhbEsLJ6nG2gCkq_oE9JYyQMQZ4kyMoJXSMn1y6s2-i27I5XuOA
,,1763,I,228,124,v3rbSVwG2C5qcI_MgN9RdeWY2lsShUzgQSCjA5gkKYI-S2nHHt9DzKjGSj4aWmpWIGV1FXSfFDkGdw
,,1708,I,192,115,h5zJxbS5WPXPEwWthXR9yvYMqjpMuKEdSININpUBxg3oMRMJzodaoGICBXjBOqxy_xNv6RI4nEjupQ
,,1702,I,130,80,kpSybWXfPMuAx2-S2tb9hvettRhVIb8bdX1SR7O65dFjd8_SziLDBn3M-q4mtUWr-3iRkJA8rQUVCw
,,1688,I,171,145,7rI14iwf1vvNduGnZfnwMsRxDSUo8BoetDLatvYj6-BCA5N7t6yPatYYB_FBINVrS7srTIsKSat_MQ
,,1686,I,149,110,mCFviuDAF6TtGS1EoqnRyWj8Uoabn2Txv-wfwmblIPmVngDfOatzZo8u37GsQhoBzdjn4fbXbewOLg
,,1637,I,175,144,cLNMqjBl-wnUUnZq-my905mPYiIqLIghFQaF9-Dbm5hoEjYcpzA11HbLdAuNaaRUjEY82eUIDDS8tg
,,1609,I,167,120,rRIt0E8N0YSWNwHwBrb0ycakeqJdDYb5qKvlpJwDrvlysxbz76hBVONDprw9inUeBCp_ui7obsYa1w
,,1609,I,146,96,tJ--0T-c0vHhhh9l_ATsf_mJq3G3obVnVLSEBjJSiHYQlYHF6jpk3Dq021HltdIS-xzQvXcCvAoLcg
,,1608,I,127,79,adzIqS7UvcAlYj2R80e5hmu6c8IyhipsEQ_j3GqfK0B_YlwupwR8k1G04xKknHSmQTQ6eXuS353cFA
,,1577,I,179,116,ZF1ayxoKqEKEJutp6mOR4xGDTa5Djc0ib4KCMw2YP1qhAs1JIPB-1O8DL8_WUm1WaPmwH3oP8s1h7w
,,1566,I,169,98,yY5NLrkYG2YEiIOlBN4zEfXNvvQdaPVvAF6An4jhRFvawnx40Fqc1qvaXAKe5xgw5__NLbO1bzmBow
,,1546,I,159,105,JYUsU07VPHNq0fKTJ1K5jsB1P-U4L5sWbMQASDbp2vokQFH0sGkDOD3YTRlYOQ54a9CEpA-iRpvsBw
,,1543,I,112,50,feyh7HN__QAYPpp4dGCQP0IDXkWazE0oXZSBRjrGLy_uqht-TAqobspw4uJm3VZLyzUdCrdorVWHxA
,,1522,I,121,102,jjP2xx2iM9k338STO9WS2grlZNfC4PK9E8n6Ye22Wqih2wl9yH0nD64QttHfhdEIkMom1EeDB46bVA
,,1511,I,199,157,FFBmLjr5KQcLVeil-Virs4XdSubdn-ZYHmHhLIMMha-R5aO3r_Vk07VTVpy7GgpCv_be7X9W70-VWQ
,,1510,I,281,210,n3CtTOURBkL_5Wrtp4lpCRW5bIJBBtgKgyMbB37HpASig59O1GffuVqJW1RtUreFHh1_EDcZrOWfNA
,,1510,I,179,139,RCfzsnHJ4iOuwMLHcnOgtZ35yCizws-pORUlZACWMN9eKd9vn7hoWm6jRwuS6bHxSjM9jsC2orj1KA
,,1495,I,219,146,LgJ4DRtzpqqB1jc1OtTf3HVZxblRlSPIXBxr8SxOMOs6RZShajx4gwlRUAu7BDO6YI-qd6B_fI5OoA
,,1485,I,163,132,7LVg1bdeqGpuvgdh89H-DY23u_eiWq763PjqBDAxltpwQRhF3vE_osyCfZZwb-IHoHQVCY8GIqT3ww
,,1469,I,161,137,Um8Vxmp9W4rUWfp1YzF3IQVV24cEwMDh1cG7n2ss8nU7fS5NXMcg-FUhSgVJ5lfZTVvFnAwP3Lu_NQ
,,1464,I,114,85,-qVLSKiMyEjtT7C_JBluJJsm5EhANiQvRbgV8FC5RLOhaFXuaLno55DGqeeV-SH_XFzsKp0psJcbZQ
,,1464,I,109,59,3MKSqKwo87eaYBXsWtxF4aTNMuvhuCtNK2Ym1sgHUhWHWDfaoFuAdHunbf7pnVw0SH-OPzy4k-azXw
,,1431,I,142,64,IyrRhKZPU5op3h7hfYLTG2eoe2NqT67RRRmR3WKIOqGWX53oGNVyyet6501z21HgUpfdyi1kLVdeEQ
,,1425,I,184,146,oKKZQ8Pzl8xI2ehDdqm49NF-pwbk7iZI5_u2RYm0YGaVgq5WTe4Wt0-pbhmW4joCu7DoMDtceJiwZQ
,,1425,I,150,115,b63YAmZg8kXXUOWthsf-uE0sBS8YRx72ddx4xXDia58Xl_87WK9ChaFXsOqiMJdi14UPo5VZfBnobg
,,1420,I,151,122,rMGripN6E1II85RK-V6dbjkKYl6lFGM2HKAVTj6LJm-qi6KmOr-PQx7YgqHoD0iMbPET4eXji4tZKw
,,1420,I,138,103,HyAynkxBq1ziDaqxWiM6jRjilR5E_bfRCc48DApXsj3jb1s9UZEOD1jlUVZ2mvhog1NQX24YQ1pJvA
,,1418,I,166,129,tBUFqWe9SGADgGvMw4SR8Pf1f6wa5EhYBtAx_JwPR0zrUNbQByhfADbPVnY5cJt_bE35T8YBDIszNQ
,,1411,I,183,141,fNCXRLTMx2EgpnMSEpINIKYl1JusDwli1mALUDL1X5nNYdZuRaITCePnv6aWBfOXSN64MEIWC-8ZIA
,,1395,I,119,93,ZiXIGhioeZ5ucBwc_E5je1u7Ud90dmkFjP5TQS66mimMzksAgjjAzcncrd--4G3oCOUg9Q_dSShr7w
,,1393,I,161,105,zsakbcjwPH8lGvp_CSpTd6xpgwklBy3Prb-zNWuqI0zEy2QYB17_SmKo3aU32gh2R8XDp6-XmAef8A
,,1371,I,125,92,fDQJcEHIBkUeKuCOWRv2QRj_Jfv6eTPUueGqfnJADtSKaXbWLwmROrMPirVly5bdoae67QCcn3NF8g
,,1368,I,160,128,7L30WUusKLF3-XOYrRLUUqkksmZrso0qmyvWALhgxYOglW6CuKsTLopI-tk6kDOLiSOzA9RFHCvSTw
,,1362,I,104,89,HrWUwIcl_e-z_k8kJvSCOuIKUIn_jrlGHHQl8CW3sJ2LONRNWOGklq7RNZZ2vxyuCLiCwiFhmMsIbg
,,1348,I,134,96,o67rrKwOQwDtW2MrolD-VEPI4jtdnyQlAT6VkCpZSH2LhzJer61264ooK54FOwMMtz6iKaxULi8qcQ
,,1344,I,193,160,vSD_IaYDpaLmk1JtT5nzOpULQ2i00PZQNfrBzJlyi16hDcFHO0jyxITG7BXmkc9J80CgzsCzayUA8g
,,1338,I,99,64,RGitUQTTiYVEdLzJEQUSVWOb8qY7yG_-mMutQIki106VHdzGmSYNjM_UxMcSKVDEYlr9zwaancu1mQ
,,1336,I,168,122,PDbL6yby1NIgokb_YfvgVeE88QOJgxihGov7d_jspyrihsuHg30xAsEN0n6kljnN5sT6BoznFaNVQA
,,1336,I,100,41,C35ILChKQoqPAKzgZ8JfQ_NP8kMfleX95x5Y7c5NxFAk4izTYTnRbk2DZ5_Xyt6QQKhJHOLckeh5-A
,,1334,I,114,64,1AN8mYSi4dshjD16kZvToENbmiBywG584JQUXAhk8Foi--FIVLopq1zLazeBQVUDfBk44vrZ4P0JjA
,,1329,I,145,92,vOaet8K8GjxS5IHuGdmbeCvXAVkqmp2696yqn5946D5fch28pAaWfGk6PVmk3Gvbkf8qF76oz0W_hw
,,1326,I,163,143,OjTvnnGO8yDoTLbnfrLcF7mXyRWfg_gOH3AwCn-NQ_PBz4Fys5es6Go2Q8zer7T9MowRASPMttBPhA
,,1326,I,113,90,16_dXI__wKf6kZxt6NTlT6vuBLa0vPWi9PqKgbKp71ZkfLbx4hEIKidcdOVKTlmXDPq0AeNLB1layg
,,1315,I,107,84,2lh8sWj7FRMx7-_33Xih2aC59BP7OSeS1lKb-sZhoiUCVOpX2b1NU1gSAH7xBRXNotFXj0pilheyog
,,1302,I,176,134,Pz7kyZZ3PTceKX4RqkP9WmT_Gkrq7sULZD46nbDhelp1VGguQY3ZDKCANcxZX43vI9oj0zyAua3vEw
,,1301,I,193,146,DNPigfd-LoH8OiU1cSZf8Od8bZyYW2h1ZYC_1C2WKugkjGZdNv87mWsjChtKqWfpb-UeCjBIMlthuA
,,1300,I,213,163,55cf-y-E4n9Ei5FXlL_e_kx-bw7Vq4FO9arrpe0BG3DknKD626jTsP4L4rVdEYjA6h0Sl9tafeylpA
,,1300,I,76,24,kFOOabv6ZZ514NkrGeCrcdRj-OK2qB0E8zBlesbyojDAO5AwQtQ6fWvbkhoDmsu4D77E_P22xJD_Tg
,,1289,I,97,61,1i9qyO-CeVlPCN9DFGP3_ofV0DJSLWGoo-SwhyrxNvfh8PUsZPKT5ba8ix5VxgGx96TrtcVdyHIrjw
,,1288,I,151,119,YxXI1l4id4-HyWZXWNa1Cq3NgpRIPRf1dGgBagtX-30ZnkwqQYUQDSjbYpcTe9Ua2XC7J6mECkoyAQ
